id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_ts
41513,181167,0,2,40.82704,-73.94907,0,80,3,2,0.04,1,0,1446422400000000000
42580,137814,1,19,40.68843,-73.96408,1,70,2,294,3.47,3,336,1561334400000000000
42729,11481,1,45,40.6783,-74.00135,0,165,2,150,1.4,3,342,1560816000000000000
42882,185978,4,98,40.64524,-74.08088,1,70,2,166,1.66,1,312,1560384000000000000
43957,177536,1,3,40.70641,-73.91765,1,50,2,47,0.94,1,37,1560902400000000000
44096,190409,3,119,40.83232,-73.93184,1,40,1,219,2.04,3,353,1562198400000000000
44161,193360,1,0,40.71045,-73.9677,0,150,2,193,1.78,1,177,1467763200000000000
44212,72062,0,6,40.72518,-73.98034,1,125,1,84,0.78,4,310,1561248000000000000
44221,193722,0,17,40.70666,-74.01374,0,196,3,114,1.06,1,0,1560988800000000000
44229,181376,1,24,40.69098,-73.97113,1,110,2,213,2.0,2,321,1561334400000000000
44288,193637,0,16,40.73756,-74.00405,0,170,3,86,0.8,1,246,1559347200000000000
44506,126607,0,2,40.81526,-73.94791,0,165,3,80,0.75,3,231,1558828800000000000
45393,201297,0,16,40.73423,-74.0046,0,150,26,38,0.36,1,225,1461110400000000000
45542,202249,0,2,40.82374,-73.9373,0,100,2,18,1.79,1,0,1545004800000000000
45556,67778,1,24,40.68863,-73.97691,1,65,2,206,1.92,2,0,1561852800000000000
45910,204539,2,28,40.70382,-73.89797,0,350,8,10,0.11,5,365,1557619200000000000
45936,867225,0,35,40.80549,-73.95924,1,99,4,122,1.18,2,233,1557792000000000000
45940,204724,1,0,40.71627,-73.9587,0,200,4,33,0.58,1,1,1554681600000000000
46544,8198,1,22,40.67994,-73.97863,0,150,5,52,0.5,1,18,1559692800000000000
46723,209460,1,1,40.67992,-73.9475,1,90,3,126,1.17,4,343,1558224000000000000
46911,210746,1,34,40.67868,-73.97307,1,120,3,51,0.48,3,250,1561334400000000000
47199,212722,0,7,40.76834,-73.95334,1,75,3,199,1.85,1,326,1561334400000000000
47362,214148,1,1,40.68237,-73.9415,0,175,26,30,0.29,1,364,1346630400000000000
47370,214287,0,12,40.74031,-73.99999,0,125,3,3,0.03,1,0,1437091200000000000
47926,218404,0,5,40.76307,-73.99665,0,275,1,41,0.38,1,299,1561507200000000000
48719,221873,0,13,40.71882,-73.98852,0,299,2,109,1.04,1,207,1560556800000000000
50447,9744,1,39,40.6693,-73.98804,0,135,5,151,1.43,3,162,1561161600000000000
51438,236421,0,7,40.77333,-73.95199,1,130,14,0,0.0,2,0,1301270400000000000
51485,236655,0,13,40.72319,-73.99201,1,83,1,285,2.69,1,7,1561161600000000000
51572,237329,0,12,40.74859,-73.99671,1,123,1,375,3.52,1,328,1560816000000000000
51850,27848,2,46,40.67252,-73.76597,1,55,2,52,0.49,2,365,1558310400000000000
53137,240360,0,5,40.76244,-73.99271,0,195,5,10,1.01,1,0,1561939200000000000
53196,247432,1,1,40.69546,-73.93503,1,80,2,11,0.48,1,0,1510531200000000000
53469,204539,2,114,40.71722,-73.87856,0,98,30,33,0.31,5,240,1431129600000000000
53470,204539,2,28,40.70234,-73.89816,1,140,7,6,0.06,5,365,1444262400000000000
53477,204539,2,114,40.71546,-73.87854,0,265,7,38,0.38,5,365,1556323200000000000
54158,10889,1,0,40.7195,-73.95976,0,249,2,358,3.44,2,164,1560988800000000000
54453,255583,0,5,40.76548,-73.98474,2,105,6,10,0.09,1,363,1389052800000000000
54466,253385,0,2,40.80234,-73.95603,1,200,30,0,0.0,1,365,1301270400000000000
54508,210746,1,34,40.6787,-73.97262,1,100,2,226,2.12,3,250,1559779200000000000
54544,256161,0,2,40.81035,-73.94598,0,121,1,104,1.0,5,247,1561161600000000000
54626,190409,3,119,40.83075,-73.93058,1,45,1,138,1.45,3,323,1561852800000000000
54860,258164,0,10,40.79958,-73.94275,1,100,5,204,1.92,1,192,1561248000000000000
55467,260709,1,0,40.71625,-73.93845,0,140,2,253,3.04,1,125,1562025600000000000
55498,262138,1,1,40.6829,-73.93549,1,71,2,23,0.22,1,91,1561939200000000000
55668,88209,0,73,40.72773,-73.99134,1,130,2,115,1.17,1,75,1543968000000000000
55737,263414,0,16,40.72861,-74.0049,0,199,5,129,1.22,1,286,1558224000000000000
55959,168525,1,0,40.70979,-73.95162,1,69,4,82,1.13,2,60,1560124800000000000
55982,264928,1,24,40.68656,-73.97525,1,68,3,37,0.35,1,0,1546214400000000000
56467,267593,0,6,40.72752,-73.98432,0,130,1,204,2.04,1,192,1561939200000000000
56525,268014,1,11,40.729,-73.95829,0,195,2,69,0.65,1,58,1560384000000000000
56859,256161,0,2,40.81219,-73.94499,1,64,1,192,1.84,5,245,1559520000000000000
57166,272006,2,37,40.77185,-73.90502,0,140,2,17,0.16,1,292,1560729600000000000
57297,199392,1,65,40.68926,-73.99386,0,159,2,222,2.12,1,279,1561334400000000000
57468,239208,0,6,40.72821,-73.98701,0,189,3,205,1.96,1,0,1561248000000000000
57618,274557,0,5,40.7672,-73.98508,0,250,3,94,0.96,1,3,1560038400000000000
57740,275459,0,6,40.73012,-73.99053,0,239,3,7,0.07,1,351,1558656000000000000
57754,275578,0,71,40.7403,-73.98498,0,305,2,108,1.09,1,201,1561852800000000000
57874,276291,0,2,40.80931,-73.94343,0,155,3,222,2.1,2,232,1561507200000000000
58059,277379,0,2,40.8251,-73.94287,1,60,1,458,4.58,2,258,1562112000000000000
58062,277394,1,54,40.6585,-73.98397,1,135,2,21,0.26,1,272,1558051200000000000
58467,279797,0,75,40.76193,-73.9501,1,120,7,17,0.3,1,341,1557273600000000000
59014,282927,0,13,40.72052,-73.98589,0,150,3,41,0.39,1,244,1546387200000000000
59121,204539,2,28,40.70411,-73.89934,0,140,14,1,0.01,5,365,1347840000000000000
59642,274782,1,11,40.73401,-73.95967,0,135,2,69,0.67,1,12,1558224000000000000
59709,186084,0,31,40.71756,-73.99503,0,250,4,18,0.18,2,265,1561939200000000000
59855,288031,0,9,40.7589,-73.96991,0,250,30,82,0.78,1,0,1451952000000000000
60164,289653,0,33,40.72003,-74.00262,0,500,4,94,0.99,1,329,1561248000000000000
60457,99212,0,29,40.73194,-73.99474,0,225,5,10,0.1,1,91,1557532800000000000
60611,292204,0,10,40.79163,-73.94573,0,125,28,183,1.83,2,365,1538179200000000000
60666,256161,0,2,40.8118,-73.94434,1,92,1,189,1.82,5,253,1560211200000000000
60673,249372,0,2,40.81583,-73.94707,1,175,2,1,0.11,1,365,1538870400000000000
60680,292630,0,6,40.72654,-73.98049,0,99,2,127,1.22,1,320,1560988800000000000
60794,293394,0,4,40.80021,-73.96071,0,195,4,4,0.04,1,0,1503619200000000000
60948,126607,0,10,40.80942,-73.93936,0,140,3,135,1.3,3,192,1560988800000000000
61167,295760,0,61,40.71961,-73.9954,0,135,2,21,0.2,1,0,1449878400000000000
61224,291112,0,12,40.74358,-74.00027,0,500,2,35,0.34,1,348,1501113600000000000
61406,297176,0,2,40.80335,-73.9575,1,80,14,10,2.21,2,0,1559347200000000000
61492,297769,0,31,40.71445,-73.9908,1,120,4,171,1.8,2,353,1561248000000000000
61509,23619,0,9,40.75749,-73.96897,0,110,200,92,0.9,1,140,1556582400000000000
62095,281764,1,23,40.64446,-73.9503,0,65,3,238,2.3,1,2,1560470400000000000
62427,303882,0,6,40.7268,-73.99079,0,130,50,56,0.58,1,56,1558828800000000000
62430,197755,1,3,40.688,-73.9171,0,99,3,111,2.13,1,68,1561161600000000000
62452,303939,4,102,40.63536,-74.08537,1,36,2,193,1.85,6,360,1561420800000000000
62461,303939,4,102,40.63627,-74.08543,1,37,2,147,1.44,6,0,1560124800000000000
62787,303939,4,102,40.63518,-74.08546,1,37,2,177,1.71,6,320,1562025600000000000
62891,306545,0,6,40.72477,-73.98161,0,175,3,185,1.78,2,326,1558656000000000000
62903,306605,0,12,40.74238,-73.99567,0,205,9,62,0.7,2,76,1561075200000000000
62925,306739,1,11,40.72945,-73.95511,0,285,3,124,1.22,3,279,1560643200000000000
63299,308875,1,0,40.70763,-73.95177,1,59,2,181,1.77,2,15,1561248000000000000
63320,303939,4,102,40.63481,-74.08519,1,36,2,333,3.19,6,340,1562025600000000000
63360,307962,2,14,40.75384,-73.91433,0,99,5,441,4.5,1,226,1561334400000000000
63546,308652,1,52,40.64106,-73.97426,1,39,1,45,0.46,2,365,1557964800000000000
63573,310458,1,22,40.66793,-73.98327,1,60,14,9,0.09,2,0,1472428800000000000
63588,295128,3,125,40.81309,-73.85514,1,90,2,0,0.0,7,349,1301270400000000000
63610,310670,3,150,40.88057,-73.83572,0,105,2,38,0.5,13,365,1561593600000000000
63657,170510,1,1,40.68236,-73.94314,0,135,2,248,2.39,2,11,1561420800000000000
63693,306545,0,6,40.72185,-73.98246,0,390,5,143,1.38,2,316,1560902400000000000
63719,311286,1,1,40.68503,-73.95385,1,70,3,36,0.41,4,281,1534636800000000000
63913,312288,0,41,40.86648,-73.9263,1,75,7,0,0.0,2,323,1301270400000000000
64000,312722,1,0,40.7069,-73.95467,1,60,17,14,0.14,4,362,1546819200000000000
64015,146944,0,6,40.72807,-73.98594,0,200,3,0,0.0,1,0,1301270400000000000
64107,313317,1,8,40.6778,-73.94339,1,100,3,279,2.69,1,301,1561334400000000000
64277,311286,1,1,40.68317,-73.94701,1,70,4,18,0.22,4,189,1546387200000000000
64314,314256,1,8,40.6761,-73.9529,1,110,6,50,3.55,1,0,1558828800000000000
64365,314582,1,8,40.67586,-73.95155,1,60,2,227,2.27,2,287,1561593600000000000
64707,7310,0,61,40.71702,-73.99811,0,90,14,1,0.16,1,14,1546387200000000000
64837,46978,0,6,40.72321,-73.98157,1,68,2,203,1.96,2,86,1561248000000000000
65019,317809,0,4,40.77956,-73.98098,0,115,2,210,2.1,1,261,1562371200000000000
65268,319092,1,1,40.68276,-73.95264,1,75,5,64,0.67,1,68,1546646400000000000
65556,320422,1,0,40.71368,-73.9626,1,60,3,0,0.0,1,0,1301270400000000000
65562,320450,0,6,40.72956,-73.98158,0,129,7,5,0.15,1,231,1546473600000000000
65615,320761,1,0,40.71069,-73.95175,0,130,10,49,0.48,1,152,1561766400000000000
65660,320538,1,0,40.70863,-73.94641,0,95,4,132,1.27,1,46,1562457600000000000
65813,321756,0,2,40.82888,-73.94307,1,75,3,20,0.26,1,364,1546387200000000000
65834,321934,1,22,40.67319,-73.97323,0,175,2,11,0.11,1,246,1367452800000000000
66008,322884,1,45,40.67846,-73.99443,0,190,3,51,0.57,1,288,1561939200000000000
66026,322716,1,8,40.6715,-73.94808,1,49,21,15,0.15,5,331,1561852800000000000
66251,324460,0,6,40.72681,-73.98534,0,212,3,67,1.31,1,51,1561420800000000000
66275,314941,0,13,40.71904,-73.99392,1,95,1,109,1.11,3,364,1561248000000000000
66451,325389,1,0,40.71031,-73.9583,0,140,2,9,0.11,1,254,1550275200000000000
66718,136227,0,2,40.81322,-73.95306,0,135,6,187,1.87,1,189,1561248000000000000
66741,327673,1,22,40.67732,-73.98225,0,150,2,214,2.08,2,263,1561248000000000000
66974,329436,1,42,40.68076,-73.9896,0,190,3,69,0.79,2,258,1561939200000000000
67288,101597,0,10,40.79603,-73.94903,0,124,28,22,0.26,1,103,1560556800000000000
67299,330347,1,0,40.71492,-73.96282,0,135,30,56,0.56,1,42,1557100800000000000
67397,332189,0,35,40.80393,-73.95838,1,122,3,93,0.93,1,246,1561161600000000000
68099,323517,0,4,40.80082,-73.9652,1,109,1,104,1.05,2,364,1561420800000000000
68305,338454,0,2,40.82976,-73.94867,1,85,30,64,0.68,1,318,1530835200000000000
68403,240427,1,1,40.683,-73.91981,0,145,3,127,1.25,2,72,1561334400000000000
68735,342054,0,4,40.78971,-73.9729,0,195,11,30,0.32,1,249,1560384000000000000
68765,282655,1,45,40.67817,-73.99495,0,250,2,106,1.34,3,272,1561593600000000000
68900,343250,1,11,40.73119,-73.95578,1,125,3,6,0.1,1,325,1478995200000000000
68974,281229,0,61,40.71943,-73.99627,0,575,2,191,1.88,1,298,1560988800000000000
69894,352168,0,4,40.78,-73.98249,0,150,30,48,0.55,1,35,1560211200000000000
69921,155689,1,3,40.70514,-73.91922,1,70,5,47,0.49,1,203,1561766400000000000
70095,353965,0,41,40.86713,-73.92811,1,90,2,120,1.27,1,132,1561852800000000000
70128,354330,0,6,40.73198,-73.98881,1,65,3,52,0.63,1,5,1547078400000000000
70609,72062,0,6,40.72542,-73.97986,0,500,2,48,0.48,4,297,1560643200000000000
71010,361855,0,15,40.83494,-73.93869,0,250,3,32,0.43,2,276,1558656000000000000
71248,363834,0,31,40.71659,-73.98945,0,125,25,43,0.42,1,102,1560729600000000000
