neighbourhood,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
6,40.7288,-73.98192,7,12,0.13,1,164,140
39,40.66853,-73.98912,30,467,4.22,2,192,120
6,40.7254,-73.98157,2,7,0.06,4,298,350
26,40.74294,-73.98009,5,38,0.38,1,260,199
0,40.71942,-73.95748,3,324,3.01,1,107,325
4,40.77823,-73.97637,6,27,0.27,1,199,235
6,40.72555,-73.97965,1,115,1.05,4,299,225
39,40.66831,-73.98604,2,354,3.2,3,20,99
2,40.82754,-73.94919,2,195,2.03,1,318,170
39,40.66499,-73.97925,2,16,0.24,2,216,400
4,40.77842,-73.97556,7,13,0.12,1,224,170
6,40.72245,-73.98527,4,25,0.23,1,0,100
21,40.65593,-73.96053,2,9,0.08,1,324,75
0,40.71923,-73.96468,1,9,0.08,1,245,90
7,40.778,-73.94822,5,21,0.19,1,189,150
15,40.85879,-73.93128,15,36,0.33,1,307,85
1,40.68332,-73.9547,3,63,0.58,2,310,70
2,40.81618,-73.94894,3,155,1.42,3,213,120
19,40.68414,-73.96351,3,260,2.35,1,278,89
6,40.72392,-73.99143,5,73,0.66,1,209,185
11,40.73494,-73.9503,3,193,1.86,1,0,50
13,40.71341,-73.98856,3,32,0.29,1,16,105
5,40.76754,-73.98399,2,50,0.45,3,234,130
16,40.73442,-74.00303,29,26,0.25,1,12,115
69,40.63188,-73.93248,2,2,0.02,1,178,77
19,40.6873,-73.9634,2,426,3.89,3,275,76
1,40.68296,-73.93662,3,227,2.09,2,163,125
19,40.6863,-73.96765,4,84,0.77,3,365,135
11,40.73409,-73.95348,29,3,0.03,1,34,250
0,40.71561,-73.94835,3,10,0.1,1,280,199
65,40.6857,-73.99183,2,4,0.04,1,0,140
27,40.74028,-73.83168,2,1,0.01,1,1,140
1,40.68281,-73.93524,3,124,1.72,2,170,115
0,40.71596,-73.93938,3,11,0.11,1,188,160
0,40.71492,-73.95935,4,240,2.19,1,214,195
6,40.72354,-73.98295,3,30,0.28,1,248,195
0,40.71165,-73.96087,3,200,1.86,4,262,80
24,40.69101,-73.97312,8,27,1.05,5,280,44
16,40.73474,-74.00101,4,79,0.74,1,307,156
34,40.67386,-73.96641,15,9,0.09,1,339,85
0,40.71536,-73.96057,3,155,1.61,1,1,125
34,40.6741,-73.96595,15,4,0.05,1,269,115
10,40.79295,-73.93997,2,34,0.32,1,10,69
16,40.73226,-74.00401,45,134,1.24,1,312,225
0,40.71363,-73.96398,6,27,0.25,1,189,125
7,40.77711,-73.9527,4,126,1.16,2,290,219
50,40.68559,-73.98094,3,23,0.27,1,230,475
7,40.77456,-73.95323,1,234,2.6,2,164,99
0,40.71088,-73.95055,4,202,1.86,2,53,69
32,40.74559,-73.92313,30,28,0.26,1,126,79
1,40.68306,-73.94659,2,309,2.86,2,3,135
108,40.70207,-73.98571,3,14,0.13,1,189,250
7,40.76123,-73.9642,3,4,0.08,1,365,250
42,40.66858,-73.99083,2,80,2.17,1,0,250
2,40.82704,-73.94907,3,2,0.04,1,0,80
19,40.68843,-73.96408,2,294,3.47,3,336,70
45,40.6783,-74.00135,2,150,1.4,3,342,165
98,40.64524,-74.08088,2,166,1.66,1,312,70
3,40.70641,-73.91765,2,47,0.94,1,37,50
119,40.83232,-73.93184,1,219,2.04,3,353,40
0,40.71045,-73.9677,2,193,1.78,1,177,150
6,40.72518,-73.98034,1,84,0.78,4,310,125
17,40.70666,-74.01374,3,114,1.06,1,0,196
24,40.69098,-73.97113,2,213,2.0,2,321,110
16,40.73756,-74.00405,3,86,0.8,1,246,170
2,40.81526,-73.94791,3,80,0.75,3,231,165
16,40.73423,-74.0046,26,38,0.36,1,225,150
2,40.82374,-73.9373,2,18,1.79,1,0,100
24,40.68863,-73.97691,2,206,1.92,2,0,65
28,40.70382,-73.89797,8,10,0.11,5,365,350
35,40.80549,-73.95924,4,122,1.18,2,233,99
0,40.71627,-73.9587,4,33,0.58,1,1,200
22,40.67994,-73.97863,5,52,0.5,1,18,150
1,40.67992,-73.9475,3,126,1.17,4,343,90
34,40.67868,-73.97307,3,51,0.48,3,250,120
7,40.76834,-73.95334,3,199,1.85,1,326,75
1,40.68237,-73.9415,26,30,0.29,1,364,175
12,40.74031,-73.99999,3,3,0.03,1,0,125
5,40.76307,-73.99665,1,41,0.38,1,299,275
13,40.71882,-73.98852,2,109,1.04,1,207,299
39,40.6693,-73.98804,5,151,1.43,3,162,135
7,40.77333,-73.95199,14,0,0.0,2,0,130
13,40.72319,-73.99201,1,285,2.69,1,7,83
12,40.74859,-73.99671,1,375,3.52,1,328,123
46,40.67252,-73.76597,2,52,0.49,2,365,55
5,40.76244,-73.99271,5,10,1.01,1,0,195
1,40.69546,-73.93503,2,11,0.48,1,0,80
114,40.71722,-73.87856,30,33,0.31,5,240,98
28,40.70234,-73.89816,7,6,0.06,5,365,140
114,40.71546,-73.87854,7,38,0.38,5,365,265
0,40.7195,-73.95976,2,358,3.44,2,164,249
5,40.76548,-73.98474,6,10,0.09,1,363,105
2,40.80234,-73.95603,30,0,0.0,1,365,200
34,40.6787,-73.97262,2,226,2.12,3,250,100
2,40.81035,-73.94598,1,104,1.0,5,247,121
119,40.83075,-73.93058,1,138,1.45,3,323,45
10,40.79958,-73.94275,5,204,1.92,1,192,100
0,40.71625,-73.93845,2,253,3.04,1,125,140
1,40.6829,-73.93549,2,23,0.22,1,91,71
73,40.72773,-73.99134,2,115,1.17,1,75,130
16,40.72861,-74.0049,5,129,1.22,1,286,199
0,40.70979,-73.95162,4,82,1.13,2,60,69
24,40.68656,-73.97525,3,37,0.35,1,0,68
6,40.72752,-73.98432,1,204,2.04,1,192,130
11,40.729,-73.95829,2,69,0.65,1,58,195
2,40.81219,-73.94499,1,192,1.84,5,245,64
37,40.77185,-73.90502,2,17,0.16,1,292,140
65,40.68926,-73.99386,2,222,2.12,1,279,159
6,40.72821,-73.98701,3,205,1.96,1,0,189
5,40.7672,-73.98508,3,94,0.96,1,3,250
6,40.73012,-73.99053,3,7,0.07,1,351,239
71,40.7403,-73.98498,2,108,1.09,1,201,305
2,40.80931,-73.94343,3,222,2.1,2,232,155
2,40.8251,-73.94287,1,458,4.58,2,258,60
54,40.6585,-73.98397,2,21,0.26,1,272,135
75,40.76193,-73.9501,7,17,0.3,1,341,120
13,40.72052,-73.98589,3,41,0.39,1,244,150
28,40.70411,-73.89934,14,1,0.01,5,365,140
11,40.73401,-73.95967,2,69,0.67,1,12,135
31,40.71756,-73.99503,4,18,0.18,2,265,250
9,40.7589,-73.96991,30,82,0.78,1,0,250
33,40.72003,-74.00262,4,94,0.99,1,329,500
29,40.73194,-73.99474,5,10,0.1,1,91,225
10,40.79163,-73.94573,28,183,1.83,2,365,125
2,40.8118,-73.94434,1,189,1.82,5,253,92
2,40.81583,-73.94707,2,1,0.11,1,365,175
6,40.72654,-73.98049,2,127,1.22,1,320,99
4,40.80021,-73.96071,4,4,0.04,1,0,195
10,40.80942,-73.93936,3,135,1.3,3,192,140
61,40.71961,-73.9954,2,21,0.2,1,0,135
12,40.74358,-74.00027,2,35,0.34,1,348,500
2,40.80335,-73.9575,14,10,2.21,2,0,80
31,40.71445,-73.9908,4,171,1.8,2,353,120
9,40.75749,-73.96897,200,92,0.9,1,140,110
23,40.64446,-73.9503,3,238,2.3,1,2,65
6,40.7268,-73.99079,50,56,0.58,1,56,130
3,40.688,-73.9171,3,111,2.13,1,68,99
102,40.63536,-74.08537,2,193,1.85,6,360,36
102,40.63627,-74.08543,2,147,1.44,6,0,37
102,40.63518,-74.08546,2,177,1.71,6,320,37
6,40.72477,-73.98161,3,185,1.78,2,326,175
12,40.74238,-73.99567,9,62,0.7,2,76,205
11,40.72945,-73.95511,3,124,1.22,3,279,285
0,40.70763,-73.95177,2,181,1.77,2,15,59
102,40.63481,-74.08519,2,333,3.19,6,340,36
14,40.75384,-73.91433,5,441,4.5,1,226,99
52,40.64106,-73.97426,1,45,0.46,2,365,39
22,40.66793,-73.98327,14,9,0.09,2,0,60
125,40.81309,-73.85514,2,0,0.0,7,349,90
150,40.88057,-73.83572,2,38,0.5,13,365,105
1,40.68236,-73.94314,2,248,2.39,2,11,135
6,40.72185,-73.98246,5,143,1.38,2,316,390
1,40.68503,-73.95385,3,36,0.41,4,281,70
41,40.86648,-73.9263,7,0,0.0,2,323,75
0,40.7069,-73.95467,17,14,0.14,4,362,60
6,40.72807,-73.98594,3,0,0.0,1,0,200
8,40.6778,-73.94339,3,279,2.69,1,301,100
1,40.68317,-73.94701,4,18,0.22,4,189,70
8,40.6761,-73.9529,6,50,3.55,1,0,110
8,40.67586,-73.95155,2,227,2.27,2,287,60
61,40.71702,-73.99811,14,1,0.16,1,14,90
6,40.72321,-73.98157,2,203,1.96,2,86,68
4,40.77956,-73.98098,2,210,2.1,1,261,115
1,40.68276,-73.95264,5,64,0.67,1,68,75
0,40.71368,-73.9626,3,0,0.0,1,0,60
6,40.72956,-73.98158,7,5,0.15,1,231,129
0,40.71069,-73.95175,10,49,0.48,1,152,130
0,40.70863,-73.94641,4,132,1.27,1,46,95
2,40.82888,-73.94307,3,20,0.26,1,364,75
22,40.67319,-73.97323,2,11,0.11,1,246,175
45,40.67846,-73.99443,3,51,0.57,1,288,190
8,40.6715,-73.94808,21,15,0.15,5,331,49
6,40.72681,-73.98534,3,67,1.31,1,51,212
13,40.71904,-73.99392,1,109,1.11,3,364,95
0,40.71031,-73.9583,2,9,0.11,1,254,140
2,40.81322,-73.95306,6,187,1.87,1,189,135
22,40.67732,-73.98225,2,214,2.08,2,263,150
42,40.68076,-73.9896,3,69,0.79,2,258,190
10,40.79603,-73.94903,28,22,0.26,1,103,124
0,40.71492,-73.96282,30,56,0.56,1,42,135
35,40.80393,-73.95838,3,93,0.93,1,246,122
4,40.80082,-73.9652,1,104,1.05,2,364,109
2,40.82976,-73.94867,30,64,0.68,1,318,85
1,40.683,-73.91981,3,127,1.25,2,72,145
4,40.78971,-73.9729,11,30,0.32,1,249,195
45,40.67817,-73.99495,2,106,1.34,3,272,250
11,40.73119,-73.95578,3,6,0.1,1,325,125
61,40.71943,-73.99627,2,191,1.88,1,298,575
4,40.78,-73.98249,30,48,0.55,1,35,150
3,40.70514,-73.91922,5,47,0.49,1,203,70
41,40.86713,-73.92811,2,120,1.27,1,132,90
6,40.73198,-73.98881,3,52,0.63,1,5,65
6,40.72542,-73.97986,2,48,0.48,4,297,500
15,40.83494,-73.93869,3,32,0.43,2,276,250
31,40.71659,-73.98945,25,43,0.42,1,102,125
16,40.72966,-74.00243,30,39,0.44,1,251,200
11,40.72898,-73.95552,1,50,0.5,1,188,229
81,40.87207,-73.90193,30,4,0.35,2,346,90
4,40.77728,-73.97818,13,38,0.39,1,0,110
11,40.72646,-73.95341,3,29,0.36,1,15,59
0,40.71015,-73.96101,4,59,0.6,1,71,195
0,40.71903,-73.9597,1,68,0.67,2,215,169
10,40.80892,-73.93985,14,26,0.27,3,253,113
2,40.80276,-73.9567,14,31,0.31,1,78,250
14,40.77635,-73.93426,2,198,2.01,1,257,115
11,40.72488,-73.95018,2,1,0.01,1,0,55
0,40.71398,-73.95763,2,220,2.17,2,8,69
13,40.71876,-73.98394,3,286,2.81,1,191,150
39,40.66552,-73.99019,2,398,3.97,3,182,169
11,40.73749,-73.95292,3,36,0.36,28,79,179
5,40.76248,-73.9913,3,36,0.36,1,49,150
50,40.68674,-73.98876,4,6,0.1,1,0,135
19,40.6848,-73.96219,6,14,0.3,1,156,350
0,40.70516,-73.95455,14,76,0.76,6,343,120
6,40.72329,-73.98486,2,182,1.81,1,200,71
11,40.73776,-73.95327,3,8,0.09,28,60,349
11,40.73738,-73.95482,3,7,0.07,28,60,349
22,40.67542,-73.98142,30,34,0.51,2,189,165
11,40.73842,-73.95312,3,2,0.02,28,60,249
55,40.6926,-73.99832,3,66,0.68,2,0,100
55,40.69441,-73.99771,3,80,0.85,2,106,200
6,40.72399,-73.98374,4,240,2.4,1,276,169
1,40.6824,-73.94615,3,46,1.07,1,248,185
3,40.68949,-73.91708,2,228,2.27,1,194,65
24,40.68819,-73.97258,35,5,0.05,1,135,130
0,40.7205,-73.96015,30,8,0.11,1,30,199
6,40.72451,-73.98094,2,33,0.33,1,0,225
11,40.73813,-73.95394,3,13,0.14,28,81,179
8,40.67591,-73.94715,5,5,0.05,1,0,150
6,40.72843,-73.98895,1,388,3.88,1,142,139
79,40.71271,-73.99776,3,223,2.22,2,60,95
8,40.66966,-73.94735,15,11,0.11,5,179,79
13,40.71965,-73.98766,2,151,1.51,2,52,150
19,40.68613,-73.96536,5,0,0.0,3,365,650
1,40.68048,-73.94911,3,218,2.26,4,324,90
1,40.68314,-73.93963,2,75,0.76,2,237,120
14,40.75961,-73.91117,1,42,1.21,2,365,80
8,40.67473,-73.94494,90,0,0.0,1,365,100
1,40.69305,-73.93185,2,370,3.74,1,204,175
8,40.67174,-73.95663,5,104,1.04,1,272,120
0,40.71055,-73.95098,7,13,0.13,1,0,140
1,40.69465,-73.95458,5,4,0.07,1,9,200
19,40.68413,-73.96542,4,11,0.11,3,365,165
26,40.73877,-73.97707,4,1,0.01,3,181,125
12,40.74893,-73.99544,30,19,0.19,1,189,130
10,40.79406,-73.94102,7,131,1.31,2,0,65
24,40.68795,-73.97332,30,15,0.15,1,189,123
15,40.85295,-73.93361,2,136,1.37,1,296,67
88,40.72413,-73.76133,1,43,0.45,1,88,50
42,40.66918,-73.99187,7,98,0.99,1,35,130
0,40.71125,-73.95613,3,31,0.31,1,0,100
4,40.78558,-73.9696,21,45,0.46,1,35,212
0,40.71577,-73.96053,3,124,1.76,1,359,190
11,40.73861,-73.95485,3,9,0.09,28,60,599
6,40.72577,-73.98745,5,166,1.68,2,365,249
91,40.58615,-73.81245,27,13,0.13,1,335,70
8,40.67086,-73.94872,30,15,0.16,5,282,100
2,40.82773,-73.95231,3,380,3.83,2,247,60
1,40.68505,-73.95684,2,86,0.87,1,102,135
11,40.72911,-73.95493,3,248,2.53,3,274,175
4,40.77944,-73.98567,5,49,0.56,1,201,120
9,40.74503,-73.98876,18,54,0.57,1,98,169
8,40.67539,-73.96093,7,3,0.03,1,157,165
2,40.8054,-73.95189,1,1,0.02,1,0,90
7,40.78491,-73.9508,2,56,0.57,1,312,225
24,40.69088,-73.97307,2,163,1.66,2,331,95
8,40.67555,-73.95057,2,247,2.51,2,275,55
5,40.75835,-73.99193,10,116,1.17,1,174,85
39,40.66527,-73.9886,14,27,0.28,2,223,199
13,40.71895,-73.99434,1,52,0.6,3,361,211
9,40.75579,-73.96699,6,39,0.4,1,0,145
2,40.82399,-73.95328,14,35,0.35,1,283,65
2,40.81822,-73.94095,1,320,3.23,1,220,99
14,40.76434,-73.92132,4,30,0.32,1,363,110
8,40.67705,-73.94925,3,225,2.27,4,315,80
55,40.69263,-73.99438,30,95,0.96,1,281,150
1,40.68448,-73.92747,4,70,0.75,1,283,110
12,40.74412,-74.00208,2,35,0.36,1,20,290
6,40.73067,-73.98702,2,0,0.0,1,0,87
0,40.70665,-73.94061,4,50,0.51,1,331,190
0,40.72063,-73.95952,2,29,0.31,1,36,200
22,40.67644,-73.98082,2,23,0.23,2,7,165
2,40.80481,-73.94794,2,142,1.44,2,301,110
6,40.72533,-73.99143,2,70,0.73,1,170,395
1,40.68569,-73.93038,2,38,0.54,2,307,99
52,40.64302,-73.97255,1,82,0.94,2,365,39
6,40.72939,-73.98857,2,403,4.1,3,201,189
4,40.79918,-73.96607,1,3,0.03,1,0,85
42,40.66862,-73.9926,30,3,0.03,1,316,260
2,40.81333,-73.94453,1,116,1.18,5,271,122
11,40.72473,-73.95199,2,175,1.79,1,139,165
57,40.70925,-73.85262,3,28,1.21,3,209,97
16,40.73215,-74.00922,4,24,0.25,1,0,170
0,40.71109,-73.94332,2,15,0.15,1,0,125
25,40.7463,-73.97926,4,105,1.07,1,193,130
0,40.71823,-73.95849,10,22,0.38,1,52,225
23,40.651,-73.94886,2,263,2.69,2,136,50
24,40.68626,-73.97598,3,86,0.91,2,286,170
12,40.74488,-74.001,4,10,0.1,1,0,132
22,40.67632,-73.97616,7,18,0.21,1,18,250
11,40.72212,-73.94254,5,8,0.21,1,9,141
8,40.67456,-73.95151,20,70,0.73,1,3,64
0,40.71363,-73.96019,3,150,1.55,1,277,249
8,40.6755,-73.95878,2,115,1.18,1,0,79
6,40.72274,-73.97581,2,69,0.71,1,233,185
50,40.6858,-73.9828,3,232,2.41,1,221,120
22,40.67535,-73.97654,1,35,0.41,1,355,495
40,40.72255,-73.99346,3,18,0.21,1,0,375
40,40.72094,-73.99706,3,68,0.69,1,277,175
6,40.72485,-73.97813,4,22,0.23,1,0,150
2,40.80473,-73.9532,8,17,0.17,1,343,259
6,40.72217,-73.98419,1,34,0.58,1,0,96
0,40.71943,-73.9565,7,8,0.08,1,0,145
12,40.74249,-74.00329,4,0,0.0,1,0,200
4,40.79264,-73.97294,5,2,0.08,1,0,95
54,40.65749,-73.97675,4,52,0.72,1,188,250
2,40.80474,-73.94688,2,74,0.76,2,264,295
29,40.72831,-74.00177,3,18,0.19,1,0,175
0,40.71541,-73.94144,2,72,0.86,1,331,451
4,40.79765,-73.96245,2,191,2.18,1,236,165
7,40.78508,-73.95332,4,0,0.0,1,0,250
161,40.89747,-73.8639,1,197,2.49,1,309,77
13,40.72008,-73.98404,4,19,0.2,1,0,250
14,40.75725,-73.91098,1,414,4.34,1,245,129
0,40.7102,-73.94495,2,8,0.09,4,0,98
22,40.67359,-73.97904,2,0,0.0,1,8,150
6,40.72674,-73.9782,7,25,0.3,1,359,95
2,40.81156,-73.94571,3,119,1.22,5,333,55
2,40.80497,-73.95016,2,203,2.14,3,258,300
32,40.7385,-73.91806,40,53,0.55,3,236,42
11,40.72937,-73.95671,2,104,1.09,1,22,125
6,40.72587,-73.98438,3,175,1.8,1,236,175
2,40.82426,-73.9463,3,38,0.42,3,365,75
0,40.71624,-73.96272,45,39,0.5,1,89,255
1,40.68101,-73.94081,31,88,0.91,1,164,72
1,40.68669,-73.91989,1,27,0.28,4,311,165
0,40.71534,-73.95914,5,117,1.28,1,23,165
19,40.68288,-73.96024,3,43,0.44,2,365,75
11,40.72489,-73.95494,5,4,0.05,1,0,130
0,40.70867,-73.94284,2,385,4.0,1,222,139
1,40.67963,-73.93908,1,64,0.68,3,238,88
1,40.6798,-73.93908,1,39,0.41,3,218,80
12,40.74346,-73.99882,2,37,1.79,1,0,150
4,40.77724,-73.98109,3,10,0.12,1,0,200
6,40.72972,-73.97995,2,103,1.08,1,235,200
32,40.74102,-73.91681,40,41,0.43,3,246,42
0,40.71309,-73.94128,6,3,0.03,1,0,90
2,40.83096,-73.94633,3,227,2.33,1,247,295
0,40.71323,-73.95745,5,37,0.79,1,15,450
8,40.67212,-73.9506,2,29,0.35,1,119,130
0,40.71023,-73.96665,3,205,2.31,3,0,89
2,40.80523,-73.95139,5,42,0.44,2,234,198
6,40.72636,-73.98917,2,280,2.92,3,257,99
11,40.72185,-73.93956,4,86,0.89,3,350,46
33,40.72351,-73.99683,2,54,0.56,1,221,140
45,40.6809,-73.99233,7,7,0.07,1,0,500
35,40.80525,-73.95916,5,57,0.59,2,201,75
32,40.74,-73.91901,44,31,0.32,3,161,33
4,40.80006,-73.96049,31,188,1.94,1,259,250
3,40.70283,-73.92131,3,480,6.7,1,0,60
15,40.84468,-73.94303,2,34,0.35,1,222,75
45,40.68252,-73.99619,5,6,0.06,1,0,350
12,40.74342,-73.99483,9,3,0.04,2,76,205
22,40.67853,-73.98089,5,2,0.03,1,0,219
22,40.6788,-73.97643,1,20,0.21,6,258,60
4,40.77886,-73.98042,2,129,1.33,1,14,185
6,40.72578,-73.97879,3,147,1.6,1,27,190
39,40.66085,-73.98537,28,101,1.06,1,167,105
10,40.80113,-73.94503,2,11,0.12,2,68,250
4,40.78569,-73.97581,65,11,0.12,1,358,175
2,40.82411,-73.94934,2,41,0.43,2,59,65
1,40.68131,-73.95332,2,87,1.09,1,0,75
127,40.85811,-73.90675,4,117,1.21,1,232,37
0,40.70667,-73.96524,2,86,0.89,2,15,85
82,40.60452,-73.97103,7,0,0.0,2,0,106
10,40.7932,-73.94007,2,15,0.16,1,0,79
24,40.68768,-73.97611,2,35,0.55,2,161,85
2,40.80224,-73.94558,2,17,0.18,2,88,170
13,40.71473,-73.98842,3,3,0.04,2,337,115
2,40.80518,-73.95359,5,43,0.47,2,247,89
2,40.80827,-73.95329,3,168,4.6,1,248,49
11,40.72901,-73.95812,3,241,2.49,1,287,91
36,40.73476,-73.98452,2,105,1.13,1,304,400
3,40.69055,-73.92357,2,11,0.46,1,0,150
4,40.7735,-73.98697,30,30,0.33,11,0,2000
8,40.67505,-73.95969,3,31,0.32,1,193,97
6,40.72974,-73.98201,4,49,0.51,2,43,100
0,40.70925,-73.95425,4,23,0.24,1,25,179
11,40.72315,-73.95226,2,20,0.21,2,127,500
12,40.73939,-73.99612,10,18,0.9,1,0,429
26,40.74112,-73.97686,6,90,0.95,1,303,189
13,40.72019,-73.98217,2,99,1.04,1,345,120
40,40.72133,-73.99666,1,6,0.06,3,115,300
14,40.75744,-73.92163,30,21,0.22,8,200,107
14,40.75695,-73.9202,30,24,0.26,8,271,95
2,40.8296,-73.94651,2,111,1.17,1,12,199
10,40.79056,-73.9468,2,86,0.91,1,268,120
16,40.73631,-73.99977,15,66,0.69,2,89,199
101,40.86466,-73.85709,2,271,2.84,2,347,125
0,40.71312,-73.96199,2,227,2.4,1,37,70
0,40.71297,-73.94336,4,80,1.55,1,0,75
16,40.73712,-74.00166,30,5,0.07,1,359,100
